Company,Headquarters,Served countries,Map,Number of locations,Number of employees
Makro (CP All),Thailand,"Cambodia, China, India, Myanmar",N/A,145,14500
Maxima Group,Lithuania,"Latvia, Estonia, Bulgaria (branded as T-Market), Poland (branded as Stokrotka)",N/A,1326,31569
Maxvalu Tokai,Japan,Thailand,N/A,N/A,N/A
Meny,Norway,Denmark,N/A,300,15000
Mercator,Slovenia,"Bosnia and Herzegovina, Croatia, Montenegro, Serbia",N/A,1428,20300
Mercator-S,Serbia,N/A,N/A,321,8124
Metro,Germany,"Austria, Belgium, Bulgaria, Croatia, Czech Republic (as Makro), France, Greece, Hungary, India, Italy, Japan, Moldova, Morocco, Netherlands (as Makro), Pakistan, Poland (as Makro), Portugal (as Makro), Romania, Russia, Serbia, Slovakia, Spain (as Makro), Turkey, Ukraine",N/A,773,118000
Migros,Switzerland,"Liechtenstein, France, Germany (as tegut…)",N/A,1066,97541
Migros Türk,Turkey,Kyrgyzstan,N/A,1156,26779
MPreis,Austria,Italy,N/A,257,6100
Netto,Denmark,"Germany, Poland, United Kingdom, Sweden, Lithuania, Latvia, Estonia, Norway, Sweden, Iceland, Faroe Islands, Greenland",N/A,1730,7000
Netto UK,United Kingdom,N/A,N/A,193,7000
Netto (Les Mousquetaires),France,"Poland, Portugal",N/A,360,N/A
Netto Marken-Discount,Germany,N/A,N/A,4270,84000
Northern,Canada,USA (Alaska),N/A,213,6805
PARKnSHOP,Hong Kong,"China, Macau",N/A,250,9000
Parkson,Malaysia,"China, Vietnam, Laos, Indonesia and Myanmar",N/A,131,N/A
Penny,Germany,"Austria, Bulgaria, Hungary, Italy, Czech Republic, Romania, Turkey",N/A,3844,43773
Prisma,Finland,"Estonia, Russia",N/A,90,37283
REMA 1000,Norway,Denmark,N/A,980,20252
Rimi Baltic,Latvia,"Estonia, Lithuania",N/A,291,N/A
Selex,Italy,San Marino,N/A,2595,33000
Selgros,Germany,"Poland, Romania, Russia",N/A,98,14400
SISA,Italy,Greece,N/A,N/A,3000
SPAR,Netherlands,"Albania, Australia, Austria, Belgium, Botswana, China, Croatia, Czech Republic, Denmark, France, Germany, Greece, Hungary, India, Ireland, Italy, Japan, Mauritius, Montenegro, Namibia, Norway, Pakistan, Poland, Romania, Russia, Slovenia, South Africa, Spain, Sri Lanka, Portugal, Switzerland, United Kingdom, Ukraine, Zambia, Zimbabwe",N/A,13623,410000
Stockmann,Finland,"Estonia, Latvia, Russia",N/A,483,9734
SuperValu,Canada,N/A,N/A,N/A,N/A
SuperValu,Ireland,"Spain, United Kingdom (Northern Ireland)",N/A,223,14500
SuperValu,United States,N/A,N/A,2150,N/A
SuperValue,New Zealand,N/A,N/A,44,N/A
Tesco,United Kingdom,"Czech Republic, Hungary, India, Ireland, Malaysia, Slovakia, France, Japan, United States, South Korea, Turkey, Poland, Thailand",N/A,10014,330000
Tía SA,Ecuador,"Colombia, Uruguay",N/A,450,N/A
TF Value Mart,Malaysia,Malaysia,N/A,N/A,N/A
Veropoulos,Greece,"North Macedonia, Serbia",N/A,201,6000
Walmart,United States,"Argentina, Brazil, Canada, Chile (as Lider), China, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United Kingdom (as ASDA)",N/A,10616,2100000
Wellcome,Hong Kong,"Philippines, Taiwan",N/A,280,N/A
Whole Foods Market,United States,"Canada, United Kingdom",N/A,500,91000
Woolworths Supermarkets,Australia,New Zealand (branded as Countdown since 2010),N/A,1117,225000
A&P,United States,N/A,N/A,16000,28500
Albertsons,United States,N/A,N/A,2253,325000
Barber's Super Market,United States,N/A,N/A,N/A,N/A
BI-LO,United States,N/A,N/A,N/A,13000
BI-LO,Australia,N/A,N/A,N/A,13600
Byerly's,United States,N/A,N/A,28,3900
Cub,United States,N/A,N/A,106,1000
Remke Markets,United States,N/A,N/A,5,100
Giant Food Stores,United States,N/A,N/A,190,35000
Grand Union,United States,N/A,N/A,11,N/A
Food City,United States,N/A,N/A,153,16000
Food Lion,United States,N/A,N/A,N/A,N/A
FOODWAY Discount Foods,United States,N/A,N/A,1103,88000
Ingles,United States,N/A,N/A,198,26000
Jewel,United States,N/A,N/A,188,N/A
Kohl's,United States,N/A,N/A,1165,99000
Kowalski's,United States,N/A,N/A,11,N/A
Kroger,United States,N/A,N/A,2719,465000
Piggly Wiggly,United States,N/A,N/A,499,N/A
Safeway,United States,"Canada, United Kingdom, Australia (rebranded as Woolworths in 2008), West Germany, Mexico, Saudi Arabia, Jordan",N/A,904,250000
Winn-Dixie,United States,N/A,N/A,546,41000
Dominion,Canada,N/A,N/A,N/A,N/A
Sobey's,Canada,N/A,N/A,1500,123000
Real Canadian Superstore,Canada,N/A,N/A,120,N/A
Provigo,Canada,N/A,N/A,N/A,5700
IGA,United States,"Canada, Australia, Philippines, Dominica",N/A,N/A,N/A
IGA (Australia),Australia,N/A,N/A,1400,N/A
Metro,Canada,N/A,N/A,1601,90000
Maxi (Canada),Canada,N/A,N/A,N/A,7000
Maxi (Serbia),Serbia,N/A,N/A,482,12629
ICA Gruppen,Sweden,"Latvia, Norway, Lithuania, Estonia",N/A,N/A,24000
Norma,Germany,"France, Czech Republic, Austria",N/A,1300,14679
PLUS,Netherlands,N/A,N/A,270,N/A
Plus,Germany,"Austria, Spain, Poland, Hungary, Czech Republic, Romania, Portugal, Cyprus, Greece, Bulgaria, United States",N/A,4243,27700
Ahold,Netherlands,Poland,N/A,3206,236000
Ahold,Netherlands,"Belgium, Germany",N/A,1056,100000
Coopérative U,France,"Andorra, Burkina Faso, Benin, Cameroon, Ivory Coast, Guinea, Mauritius, Madagascar, Morocco, Senegal",N/A,1726,N/A
Konsum,Germany,N/A,N/A,N/A,N/A
Kooperativa Förbundet,Sweden,N/A,N/A,N/A,N/A
ASDA,United Kingdom,N/A,N/A,829,145000
Budgens,United Kingdom,N/A,N/A,N/A,N/A
Happy Shopper,United Kingdom,N/A,N/A,N/A,N/A
Marks & Spencer,United Kingdom,N/A,N/A,1463,72316
Victor Value,United Kingdom,N/A,N/A,217,N/A
Sainsbury's,United Kingdom,N/A,N/A,1442,171000
Waitrose,United Kingdom,Great Britain and the Channel Islands,N/A,329,52590
Ralphs,United States,N/A,N/A,N/A,N/A
Smith's Food and Drug,United States,N/A,N/A,164,22000
Vons,United States,N/A,N/A,193,44000
Morrisons,United Kingdom,N/A,N/A,497,110000
Colruyt,Belgium,N/A,N/A,N/A,24287
GB,Belgium,N/A,N/A,58,N/A
Ed,France,N/A,N/A,916,10000
Leader Price,France,"Djibouti, Cameroon, Vanuatu, Guinea, Togo, Cape Verde, Mauritania, Serbia, Morocco, Saint Martin, Lebanon, French Guiana, Belgium, Egypt, Martinique, United Arab Emirates, Madagascar, Saudi Arabia, Jordan, Kuwait, Italy, Guadeloupe, Réunion",N/A,N/A,N/A
Franprix,France,N/A,N/A,641,N/A
Inno,Belgium,N/A,N/A,16,N/A
Monoprix,France,"Belgium, Luxembourg, Qatar, Tunisia, United Arab Emirates, Morocco, Mauritius, Lebanon, Andorra, Libya, Germany, Netherlands, Portugal, Sweden, Norway, Denmark, Spain",N/A,736,21000
Système U,France,N/A,N/A,N/A,N/A
Uniprix,Canada,N/A,N/A,N/A,N/A
Rainbow Foods,United States,N/A,N/A,40,N/A
Fry's Food and Drug,United States,N/A,N/A,123,22000
Amigo,Puerto Rico,N/A,N/A,N/A,N/A
Econo,Puerto Rico,N/A,N/A,64,N/A
Obs,Norway,N/A,N/A,31,N/A
Bilka,Denmark,N/A,N/A,N/A,N/A
Pueblo,Uruguay,N/A,N/A,N/A,N/A
Safeway UK,United Kingdom,N/A,N/A,N/A,N/A
Lucky Stores,United States,N/A,N/A,70,N/A
Kwik Save,United Kingdom,N/A,N/A,N/A,N/A
Somerfield,United Kingdom,N/A,N/A,N/A,50000
Co-op,United Kingdom,N/A,N/A,7000,65000
Save-Mart,United States,N/A,N/A,293,23000
Super de Boer,Netherlands,N/A,N/A,N/A,N/A
Kmart,United States,N/A,N/A,8,N/A
Carrs-Safeway,United States,N/A,N/A,24,N/A
Genuardi's,United States,N/A,N/A,39,7000
Pavilions,United States,N/A,N/A,26,N/A
Randalls,United States,N/A,N/A,32,16000
Tom Thumb,United States,N/A,N/A,64,2000
Farmer Jack,United States,N/A,N/A,100,7200
Meijer,United States,N/A,N/A,467,70000
Spartan Stores,United States,N/A,N/A,N/A,17500
Iceland,United Kingdom,"Ireland, Czech Republic, Spain, Portugal, Malta, Norway",N/A,1000,28853
FoodLand,United States,N/A,N/A,3938,N/A
Foodland,Australia,N/A,N/A,96,7000
Romeo's Retail Group,Australia,N/A,N/A,39,N/A
Foodland Hawaii,United States,N/A,N/A,32,N/A
Foodland Ontario,Canada,N/A,N/A,N/A,N/A
Foodland (Thailand),Thailand,N/A,N/A,22,N/A
Loblaws,Canada,N/A,N/A,N/A,N/A
Loeb,Canada,N/A,N/A,N/A,N/A
Stater Bros.,United States,N/A,N/A,171,18000
Bashas',United States,N/A,N/A,118,9085
QFC,United States,N/A,N/A,62,5900
Raley's Supermarkets,United States,N/A,N/A,129,23000
Wild Oats Markets,United States,N/A,N/A,N/A,N/A
Coles,Australia,N/A,N/A,846,120000
Kmart Australia,Australia,N/A,N/A,325,40000
Big W,Australia,N/A,N/A,177,18000
Myer,Australia,N/A,N/A,57,14000
Big Fresh,New Zealand,N/A,N/A,11,N/A
Franklins,Australia,N/A,N/A,85,N/A
Countdown,New Zealand,N/A,N/A,190,18000
Foodtown,New Zealand,N/A,N/A,N/A,N/A
New World,New Zealand,N/A,N/A,140,N/A
Pak'nSave,New Zealand,N/A,N/A,57,N/A
Woolworths (New Zealand supermarket chain),New Zealand,N/A,N/A,28,N/A
C1000,Netherlands,N/A,N/A,500,N/A
Jumbo,Netherlands,N/A,N/A,740,N/A
Jumbo Chile,Chile,"Argentina, Colombia",N/A,N/A,25769
Weingarten's,United States,N/A,N/A,70,N/A
Gima,Romania,N/A,N/A,N/A,N/A
Mega Image,Romania,N/A,N/A,806,9741
Amigo Supermarkets,Puerto Rico,N/A,N/A,N/A,N/A
Zellers,Canada,N/A,N/A,350,N/A
Zehrs,Canada,N/A,N/A,43,N/A
XXL,Romania,N/A,N/A,N/A,N/A
Profi,Romania,N/A,N/A,1600,N/A
Wegmans,United States,N/A,N/A,109,52335
Esselunga,Italy,N/A,N/A,160,23094
Standa,Italy,N/A,N/A,126,N/A
Supermercado La Franco Italiana,Venezuela,N/A,N/A,N/A,N/A
Happy Harry's,United States,N/A,N/A,76,N/A
Great Food Hall,Hong Kong,N/A,N/A,N/A,N/A
Taste,Hong Kong,N/A,N/A,N/A,N/A
Gourmet,Hong Kong,N/A,N/A,N/A,N/A
Real Atlantic Superstore,Canada,N/A,N/A,52,N/A
Hannaford,United States,N/A,N/A,183,N/A
Price Chopper,United States,N/A,N/A,131,24000
Price Chopper,United States,N/A,N/A,55,10000
Price Chopper (New Zealand),New Zealand,N/A,N/A,17,N/A
FreshCo,Canada,N/A,N/A,100,N/A
Shaw's and Star Market,United States,N/A,N/A,145,N/A
Star Market,United States,N/A,N/A,406,82000
Alfa-Beta Vassilopoulos,Greece,N/A,N/A,500,14586
Supermercados Gigante,Mexico,N/A,N/A,199,N/A
CTown Supermarkets,United States,N/A,N/A,200,N/A
The Food Emporium,United States,N/A,N/A,13,N/A
Key Food,United States,N/A,N/A,324,N/A
Shop-Rite (Canada),Canada,N/A,N/A,65,N/A
Shop-Rite (Isle of Man),Isle of Man,N/A,N/A,9,600
Shoprite Holdings Ltd,South Africa,"Namibia, Zambia, Zimbabwe, Uganda",N/A,3326,153000
ShopRite (United States),United States,N/A,N/A,321,N/A
Waldbaum's,United States,N/A,N/A,140,N/A
Fairway Market,United States,N/A,N/A,4,N/A
Fairway Markets,Canada,N/A,N/A,N/A,700
Fareway,United States,N/A,N/A,131,12000
Trader Joe's,United States,N/A,N/A,569,50000
Kooperativa Förbundet,Sweden,N/A,N/A,N/A,N/A
RIMI,Norway,N/A,N/A,279,N/A
REWE,Germany,N/A,N/A,3300,N/A
REWE Group,Germany,"France, Ukraine, Switzerland, Poland, Croatia, Romania, Russia, Bulgaria, Slovakia, Hungary, Czech Republic, Italy, Austria",N/A,12109,363633
Metro AG,Germany,"Moldova, Slovakia, Kazakhstan, Serbia, Pakistan, Portugal, Croatia, Bulgaria, Austria, Czech Republic, Hungary, Netherlands, Argentina, Ukraine, Poland, Romania, Turkey, Spain, Italy, Russia, France",N/A,674,91201
PrisXtra,Sweden,N/A,N/A,5,N/A
Your Independent Grocer,Canada,N/A,N/A,N/A,N/A
Lojas Americanas,Brazil,N/A,N/A,1945,18775
